,id,album_id,album_name,duration_ms,popularity,track_name,artists,msPlayed,endTime,release_date,genres
68,2y6mh0Q1gZC7BKThkY92bh,3uLrSFrNqa8CULSIU7e9v5,Egypt Station,184678,26,Confidante,['Paul McCartney'],122399,2023-01-06 10:46,2018-09-07,[]
69,4Ev1LZ4uzjnSvDHpgdyBZK,5F0IQXuHfTV7SBvZVnXERl,The Division Bell,314960,56,Lost for Words,['Pink Floyd'],163728,2023-01-06 10:49,1994,[]
70,0BXq9t3wTA8HMqFPvGxZYf,2BkNgqpxRpu2lMH2yi0FJC,Sweet Redolence,114400,44,Sweet Redolence,['Cedric Armfeldt'],109145,2023-01-06 10:50,2020-08-07,[]
71,0XDv7SLyMkGcAnb12fMHa1,2fDm6GpssR8S6uQnDE4MKM,English Settlement,290667,50,Senses Working Overtime - Remastered 2001,['XTC'],38963,2023-01-06 10:51,1982-02-12,[]
72,6nqq13r13sPOS7C3ydOi7L,6FoaIAh5ydGk4iEk32ECpk,Quasar,250604,50,Quasar,['Tevvez'],352215,2023-01-06 13:59,2021-06-07,[]
73,5Z8Dj3LtbyCMiwE86rhg2f,6o86bV7TAt5x4exc2qLDqC,Actual Life (April 14 - December 17 2020),285375,73,Marea (we’ve lost dancing),"['Fred again..', 'The Blessed Madonna']",285375,2023-01-06 14:04,2021-04-15,[]
74,0XDv7SLyMkGcAnb12fMHa1,2fDm6GpssR8S6uQnDE4MKM,English Settlement,290667,50,Senses Working Overtime - Remastered 2001,['XTC'],84182,2023-01-06 14:21,1982-02-12,[]
75,3y3GMygxjeZ8VQDfEoyKh7,6Djgy4mo37pXQgBsLrdFYj,As I Dream,184583,62,As I Dream,['Johannes Bornlöf'],178613,2023-01-06 14:23,2022-05-13,[]
76,7Jrx30VldPaujIaP3c2SJn,75lQPJlmH7f4DlqyOpemjO,Un Cadeau,157077,57,Un Cadeau,['Nel Swerts'],153484,2023-01-06 14:26,2022-02-18,[]
77,6JmgdhklkWQBWZBhh8Too2,1vj9YCKCsagqPUV5rdfDVX,Crossing Paths,178958,47,Crossing Paths,['Lake Isabel'],174272,2023-01-06 14:29,2020-07-24,[]
78,70pC9IQb39VDNUm3Uio5kD,0sHbXMgCDveBs71HiIJulB,Petites danses et rêveries,146090,68,Un sourire et une larme (valse),['Tom Kristiaan'],140356,2023-01-06 14:31,2022-05-20,[]
79,5Gm2tHCFTzb0vHZfReSr5f,4RWOkpGgca2uscV8PX9CeR,Silfur,211440,47,Opus 18 - Silfur Version,"[""Dustin O'Halloran""]",200194,2023-01-06 14:35,2021-06-11,[]
80,2p5THyuNwpJ9c7ex3TN383,0nz4s5aDqAOYKdbogoo15X,Nowesind,119120,65,Nowesind,['Jacob David'],112333,2023-01-06 14:36,2022-02-25,[]
81,3iTkd7x5X2LIVKu7JNwqHR,2KOI69X6VG66offffHQvjg,The Pious Bird of Good Omen,191106,55,Albatross - 2018 Master,['Fleetwood Mac'],148830,2023-01-06 14:39,1969-08-15,[]
82,63oFS9JTsvadCXUqwqA7p0,74x8LKWeBPXDJxB0IDlCep,Shizukana,131786,67,Shizukana,['Isshi Matsuriza'],128634,2023-01-06 14:41,2022-04-08,[]
